kanji/一,vocabulary/一,vocabulary/一つ
kanji/二,vocabulary/二,vocabulary/二つ
kanji/九,vocabulary/九,vocabulary/九つ,kanji/力,vocabulary/力,kanji/丸,vocabulary/丸,vocabulary/丸い,vocabulary/丸ごと
kanji/七,vocabulary/七,vocabulary/七つ
kanji/人,vocabulary/人,kanji/入,vocabulary/入る,vocabulary/入れる
kanji/入,vocabulary/入る,vocabulary/入れる,kanji/人,vocabulary/人
kanji/八,vocabulary/八,vocabulary/八つ
kanji/力,vocabulary/力,kanji/九,vocabulary/九,vocabulary/九つ,kanji/丸,vocabulary/丸,vocabulary/丸い,vocabulary/丸ごと
kanji/十,vocabulary/十
kanji/三,vocabulary/三,vocabulary/三つ
kanji/上,vocabulary/上,vocabulary/上げる,vocabulary/上がる,vocabulary/上る
kanji/下,vocabulary/下,vocabulary/下がる,vocabulary/下げる,vocabulary/下さい
kanji/口,vocabulary/口
kanji/大,vocabulary/大きい,vocabulary/大きさ,vocabulary/大した,vocabulary/大きく,vocabulary/大いに,kanji/犬,vocabulary/犬,kanji/太,vocabulary/太い,vocabulary/太る
kanji/女,vocabulary/女
kanji/山,vocabulary/山,vocabulary/ふじ山,kanji/仙
kanji/川,vocabulary/川
kanji/刀,vocabulary/刀
kanji/土,vocabulary/土,kanji/士
kanji/千,vocabulary/千,kanji/干,vocabulary/干す
kanji/夕,vocabulary/夕べ
kanji/子,vocabulary/子,kanji/了,kanji/丁
kanji/小,vocabulary/小さい
kanji/丁,kanji/子,vocabulary/子,kanji/了
kanji/了,kanji/子,vocabulary/子,kanji/丁
kanji/又,vocabulary/又
kanji/丸,vocabulary/丸,vocabulary/丸い,vocabulary/丸ごと,kanji/九,vocabulary/九,vocabulary/九つ,kanji/力,vocabulary/力
kanji/才,kanji/丈,vocabulary/丈
kanji/中,vocabulary/中
kanji/五,vocabulary/五つ,vocabulary/五
kanji/六,vocabulary/六つ,vocabulary/六
kanji/円,vocabulary/円,vocabulary/円い
kanji/天,vocabulary/天,kanji/夫,vocabulary/夫
kanji/手,vocabulary/手,kanji/毛,vocabulary/毛
kanji/文,vocabulary/文
kanji/日,vocabulary/日
kanji/月,vocabulary/月
kanji/木,vocabulary/木
kanji/水,vocabulary/水,kanji/氷,vocabulary/氷,vocabulary/かき氷,kanji/永,kanji/泳,vocabulary/泳ぐ,vocabulary/泳ぎ,kanji/来,vocabulary/来る,kanji/米,vocabulary/米,kanji/求,vocabulary/求める
kanji/火,vocabulary/火
kanji/犬,vocabulary/犬,kanji/大,vocabulary/大きい,vocabulary/大きさ,vocabulary/大した,vocabulary/大きく,vocabulary/大いに,kanji/太,vocabulary/太い,vocabulary/太る
kanji/王,vocabulary/王,kanji/主,vocabulary/主に,vocabulary/主,kanji/住,vocabulary/住む,kanji/注,vocabulary/注ぐ,kanji/往,kanji/柱,vocabulary/柱,kanji/北,vocabulary/北,kanji/化,vocabulary/化ける,vocabulary/化かす
kanji/出,vocabulary/出す,vocabulary/出る,vocabulary/出かける
kanji/右,vocabulary/右,kanji/左,vocabulary/左,kanji/石,vocabulary/石
kanji/四,vocabulary/四,vocabulary/四つ
kanji/左,vocabulary/左,kanji/右,vocabulary/右,kanji/石,vocabulary/石
kanji/本,vocabulary/本
kanji/正,vocabulary/正しい,vocabulary/正す,kanji/止,vocabulary/止まる,vocabulary/止める
kanji/玉,vocabulary/玉,vocabulary/玉ねぎ
kanji/田,vocabulary/田
kanji/白,vocabulary/白,vocabulary/白い
kanji/目,vocabulary/目
kanji/石,vocabulary/石,kanji/左,vocabulary/左,kanji/右,vocabulary/右
kanji/立,vocabulary/立つ,vocabulary/立てる
kanji/万,vocabulary/万,kanji/方,vocabulary/方
kanji/久,vocabulary/久しい,vocabulary/久しぶり
kanji/今,vocabulary/今,vocabulary/今まで,vocabulary/今すぐ
kanji/元,vocabulary/元
kanji/内,vocabulary/内
kanji/分,vocabulary/分かる,vocabulary/分ける,vocabulary/分
kanji/切,vocabulary/切れる,vocabulary/切る
kanji/午,kanji/牛,vocabulary/牛,kanji/件
kanji/友,kanji/反
kanji/太,vocabulary/太い,vocabulary/太る,kanji/大,vocabulary/大きい,vocabulary/大きさ,vocabulary/大した,vocabulary/大きく,vocabulary/大いに,kanji/犬,vocabulary/犬
kanji/少,vocabulary/少し,vocabulary/少ない
kanji/引,vocabulary/引く
kanji/心,vocabulary/心
kanji/戸,vocabulary/戸
kanji/方,vocabulary/方,kanji/万,vocabulary/万
kanji/牛,vocabulary/牛,kanji/午,kanji/件
kanji/父,vocabulary/父,vocabulary/お父さん
kanji/毛,vocabulary/毛,kanji/手,vocabulary/手
kanji/止,vocabulary/止まる,vocabulary/止める,kanji/正,vocabulary/正しい,vocabulary/正す
kanji/兄,vocabulary/兄,vocabulary/お兄さん
kanji/冬,vocabulary/冬
kanji/北,vocabulary/北,kanji/王,vocabulary/王,kanji/柱,vocabulary/柱,kanji/化,vocabulary/化ける,vocabulary/化かす,kanji/比,vocabulary/比べる
kanji/半,vocabulary/半,kanji/米,vocabulary/米,kanji/来,vocabulary/来る,kanji/平,vocabulary/平ら,kanji/判,kanji/伴,vocabulary/伴う
kanji/古,vocabulary/古い,kanji/苦,vocabulary/苦い,vocabulary/苦しい,vocabulary/苦しむ,vocabulary/苦しむ,kanji/岩,vocabulary/岩,kanji/若,vocabulary/若い
kanji/外,vocabulary/外,vocabulary/外れ,vocabulary/外れる
kanji/市,vocabulary/市,kanji/布,vocabulary/布
kanji/広,vocabulary/広い
kanji/母,vocabulary/母,vocabulary/お母さん
kanji/用,vocabulary/用いる,vocabulary/用
kanji/矢,vocabulary/矢,kanji/失,vocabulary/失う,kanji/末,vocabulary/末,kanji/未,vocabulary/未だ
kanji/世,vocabulary/世
kanji/主,vocabulary/主に,vocabulary/主,kanji/生,vocabulary/生まれる,vocabulary/生む,vocabulary/生きる,vocabulary/生,vocabulary/生える,vocabulary/生まれ,kanji/王,vocabulary/王
kanji/他,vocabulary/他,kanji/地,vocabulary/地,kanji/池,vocabulary/池,kanji/也
kanji/代,vocabulary/代わる,vocabulary/代わり,vocabulary/代える,kanji/付,vocabulary/付ける,vocabulary/付く
kanji/写,vocabulary/写す,vocabulary/写る
kanji/号,vocabulary/号
kanji/平,vocabulary/平ら,kanji/半,vocabulary/半,kanji/米,vocabulary/米,kanji/来,vocabulary/来る
kanji/打,vocabulary/打つ,kanji/灯,vocabulary/灯り,vocabulary/灯る
kanji/氷,vocabulary/氷,vocabulary/かき氷,kanji/水,vocabulary/水,kanji/永,kanji/泳,vocabulary/泳ぐ,vocabulary/泳ぎ,kanji/来,vocabulary/来る,kanji/米,vocabulary/米,kanji/求,vocabulary/求める
kanji/申,vocabulary/申す,kanji/由,kanji/甲,vocabulary/甲
kanji/皮,vocabulary/皮,kanji/波,vocabulary/波,kanji/被,vocabulary/被る,kanji/彼,vocabulary/彼,vocabulary/彼ら,kanji/破,vocabulary/破る,vocabulary/破れる,kanji/疲,vocabulary/疲れる,vocabulary/疲れ,kanji/披
kanji/皿,vocabulary/皿,kanji/血,vocabulary/血
kanji/礼,vocabulary/お礼,kanji/札
kanji/休,vocabulary/休み,vocabulary/休む,kanji/体,vocabulary/体
kanji/先,vocabulary/先ず,vocabulary/先
kanji/名,vocabulary/名,kanji/各
kanji/字,vocabulary/字,kanji/学,vocabulary/学ぶ
kanji/年,vocabulary/年
kanji/早,vocabulary/早い,vocabulary/早く
kanji/気,vocabulary/気
kanji/百,vocabulary/百,kanji/首,vocabulary/首,vocabulary/首になる
kanji/竹,vocabulary/竹
kanji/糸,vocabulary/糸
kanji/耳,vocabulary/耳
kanji/虫,vocabulary/虫
kanji/村,vocabulary/村
kanji/男,vocabulary/男,kanji/勇,vocabulary/勇む
kanji/町,vocabulary/町
kanji/花,vocabulary/花
kanji/見,vocabulary/見る,vocabulary/見える,vocabulary/見せる
kanji/貝,vocabulary/貝,kanji/負,vocabulary/負ける,kanji/具
kanji/赤,vocabulary/赤,vocabulary/赤ちゃん,vocabulary/赤い
kanji/足,vocabulary/足りる,vocabulary/足,vocabulary/足りない,vocabulary/足す
kanji/車,vocabulary/車
kanji/交,vocabulary/交ぜる,vocabulary/交じる,vocabulary/交わる
kanji/会,vocabulary/会う,vocabulary/会,kanji/合,vocabulary/合う,vocabulary/合わせる
kanji/光,vocabulary/光,vocabulary/光る
kanji/同,vocabulary/同じ,kanji/司,kanji/句,kanji/可,kanji/詞,kanji/飼,vocabulary/飼う,kanji/旬,vocabulary/旬,kanji/伺,vocabulary/伺う,vocabulary/伺い
kanji/回,vocabulary/回る,vocabulary/回す
kanji/多,vocabulary/多い
kanji/当,vocabulary/当たる,vocabulary/当たり,vocabulary/当てる
kanji/毎,kanji/海,vocabulary/海,kanji/梅,vocabulary/梅,kanji/敏,kanji/悔,vocabulary/悔しい,vocabulary/悔やむ
kanji/池,vocabulary/池,kanji/他,vocabulary/他,kanji/地,vocabulary/地,kanji/也
kanji/米,vocabulary/米,kanji/半,vocabulary/半,kanji/来,vocabulary/来る,kanji/平,vocabulary/平ら,kanji/氷,vocabulary/氷,vocabulary/かき氷,kanji/水,vocabulary/水,kanji/永,kanji/泳,vocabulary/泳ぐ,vocabulary/泳ぎ
kanji/羽,vocabulary/羽
kanji/考,vocabulary/考え,vocabulary/考える,kanji/老,kanji/教,vocabulary/教える,vocabulary/教え,kanji/数,vocabulary/数える,vocabulary/数,kanji/孝
kanji/肉,vocabulary/肉
kanji/色,vocabulary/色,kanji/角,vocabulary/角,kanji/免,vocabulary/免れる
kanji/行,vocabulary/行く,vocabulary/行う,vocabulary/行き
kanji/西,vocabulary/西
kanji/何,vocabulary/何,kanji/荷,kanji/河,vocabulary/河,kanji/阿
kanji/体,vocabulary/体,kanji/休,vocabulary/休み,vocabulary/休む
kanji/作,vocabulary/作る,kanji/昨,kanji/酢,vocabulary/酢,kanji/搾,vocabulary/搾る
kanji/図,vocabulary/図
kanji/声,vocabulary/声
kanji/売,vocabulary/売る,vocabulary/売れる
kanji/弟,vocabulary/弟,kanji/弓,vocabulary/弓,kanji/弔,vocabulary/弔う,kanji/沸,vocabulary/沸く,vocabulary/沸かす,kanji/第
kanji/形,vocabulary/形
kanji/来,vocabulary/来る,kanji/半,vocabulary/半,kanji/米,vocabulary/米,kanji/平,vocabulary/平ら,kanji/氷,vocabulary/氷,vocabulary/かき氷,kanji/水,vocabulary/水,kanji/永,kanji/泳,vocabulary/泳ぐ,vocabulary/泳ぎ
kanji/社,kanji/祉
kanji/角,vocabulary/角,kanji/色,vocabulary/色,kanji/免,vocabulary/免れる
kanji/言,vocabulary/言う
kanji/谷,vocabulary/谷,kanji/合,vocabulary/合う,vocabulary/合わせる
kanji/走,vocabulary/走る,kanji/歩,vocabulary/歩く
kanji/近,vocabulary/近い,vocabulary/近づく,vocabulary/近く,kanji/辺,vocabulary/辺り,vocabulary/この辺,vocabulary/辺
kanji/里,vocabulary/里
kanji/麦,vocabulary/麦,kanji/夏,vocabulary/夏
kanji/学,vocabulary/学ぶ,kanji/字,vocabulary/字
kanji/林,vocabulary/林
kanji/空,vocabulary/空,kanji/究,kanji/突,vocabulary/突く
kanji/金,vocabulary/金,vocabulary/お金,kanji/全,vocabulary/全て,vocabulary/全く,vocabulary/全て,kanji/企,vocabulary/企てる
kanji/雨,vocabulary/雨
kanji/青,vocabulary/青い,kanji/責,vocabulary/責める,kanji/貴,vocabulary/貴い
kanji/草,vocabulary/草
kanji/音,vocabulary/音
kanji/化,vocabulary/化ける,vocabulary/化かす,kanji/王,vocabulary/王,kanji/柱,vocabulary/柱,kanji/北,vocabulary/北,kanji/比,vocabulary/比べる
kanji/地,vocabulary/地,kanji/他,vocabulary/他,kanji/池,vocabulary/池,kanji/也
kanji/全,vocabulary/全て,vocabulary/全く,vocabulary/全て,vocabulary/全て,vocabulary/全て,vocabulary/全て,vocabulary/全て,vocabulary/全て,vocabulary/全て,vocabulary/全て,vocabulary/全て,vocabulary/全て,vocabulary/全て,vocabulary/全て,vocabulary/全て,vocabulary/全て,vocabulary/全て,kanji/金,vocabulary/金,vocabulary/お金,kanji/企,vocabulary/企てる
kanji/向,vocabulary/向こう,vocabulary/向く,vocabulary/向ける
kanji/安,vocabulary/安い
kanji/州,vocabulary/州
kanji/曲,vocabulary/曲,vocabulary/曲がる,vocabulary/曲げる
kanji/有,vocabulary/有る
kanji/次,vocabulary/次,kanji/欠,vocabulary/欠ける,vocabulary/欠かす,kanji/決,vocabulary/決,vocabulary/決める,vocabulary/決まる,kanji/快,vocabulary/快い
kanji/死,vocabulary/死ぬ,vocabulary/死
kanji/羊,vocabulary/羊
kanji/血,vocabulary/血,kanji/皿,vocabulary/皿
kanji/京,kanji/東,vocabulary/東,kanji/束,vocabulary/束
kanji/国,vocabulary/国
kanji/夜,vocabulary/夜
kanji/妹,vocabulary/妹
kanji/姉,vocabulary/お姉さん,vocabulary/姉
kanji/店,vocabulary/店
kanji/明,vocabulary/明るい
kanji/東,vocabulary/東,kanji/束,vocabulary/束,kanji/京
kanji/歩,vocabulary/歩く,kanji/走,vocabulary/走る
kanji/直,vocabulary/直す,vocabulary/直る,kanji/置,vocabulary/置く,kanji/値,vocabulary/値,kanji/植,vocabulary/植える,kanji/殖,vocabulary/殖える
kanji/知,vocabulary/お知らせ,vocabulary/知る,kanji/和,kanji/如
kanji/長,vocabulary/長い,vocabulary/長さ
kanji/前,vocabulary/前,vocabulary/この前,vocabulary/お前
kanji/南,vocabulary/南
kanji/室,kanji/屋,kanji/窒
kanji/後,vocabulary/後ろ,vocabulary/後で,kanji/係,vocabulary/係わる,kanji/孫,vocabulary/孫
kanji/思,vocabulary/思う,vocabulary/思わず
kanji/星,vocabulary/星
kanji/海,vocabulary/海,kanji/毎,kanji/梅,vocabulary/梅,kanji/敏,kanji/悔,vocabulary/悔しい,vocabulary/悔やむ
kanji/点,vocabulary/点,vocabulary/点ける
kanji/科,kanji/料
kanji/茶,vocabulary/お茶,kanji/菜
kanji/食,vocabulary/食べる
kanji/首,vocabulary/首,vocabulary/首になる,kanji/百,vocabulary/百
kanji/欠,vocabulary/欠ける,vocabulary/欠かす,kanji/次,vocabulary/次,kanji/決,vocabulary/決,vocabulary/決める,vocabulary/決まる,kanji/快,vocabulary/快い
kanji/氏,vocabulary/氏,kanji/民
kanji/由,kanji/申,vocabulary/申す,kanji/甲,vocabulary/甲
kanji/札,kanji/礼,vocabulary/お礼
kanji/民,kanji/氏,vocabulary/氏
kanji/辺,vocabulary/辺り,vocabulary/この辺,vocabulary/辺,kanji/近,vocabulary/近い,vocabulary/近づく,vocabulary/近く
kanji/付,vocabulary/付ける,vocabulary/付く,kanji/代,vocabulary/代わる,vocabulary/代わり,vocabulary/代える
kanji/失,vocabulary/失う,kanji/矢,vocabulary/矢,kanji/末,vocabulary/末,kanji/未,vocabulary/未だ
kanji/必,vocabulary/必ず
kanji/未,vocabulary/未だ,kanji/末,vocabulary/末,kanji/失,vocabulary/失う,kanji/矢,vocabulary/矢
kanji/末,vocabulary/末,kanji/未,vocabulary/未だ,kanji/失,vocabulary/失う,kanji/矢,vocabulary/矢
kanji/校,kanji/効,vocabulary/効く,kanji/絞,vocabulary/絞る,kanji/較,kanji/郊
kanji/夏,vocabulary/夏,kanji/麦,vocabulary/麦
kanji/家,vocabulary/家
kanji/弱,vocabulary/弱い
kanji/時,vocabulary/時,kanji/待,vocabulary/待つ,vocabulary/待たせる,vocabulary/待ちぼうけ,kanji/持,vocabulary/持つ,kanji/特,vocabulary/特に,kanji/詩,vocabulary/詩,kanji/侍,vocabulary/侍
kanji/紙,vocabulary/紙,kanji/低,vocabulary/低い,kanji/抵,kanji/底,vocabulary/底,kanji/邸
kanji/記,kanji/紀
kanji/通,vocabulary/通る,vocabulary/通り,vocabulary/通う,vocabulary/通す,kanji/週
kanji/高,vocabulary/高い,vocabulary/高さ
kanji/強,vocabulary/強い
kanji/教,vocabulary/教える,vocabulary/教え,kanji/数,vocabulary/数える,vocabulary/数,kanji/考,vocabulary/考え,vocabulary/考える,kanji/類
kanji/理,kanji/埋,vocabulary/埋める,vocabulary/埋もれる,vocabulary/埋まる
kanji/組,vocabulary/組,kanji/相,kanji/祖,kanji/狙,vocabulary/狙い,vocabulary/狙う,kanji/租,kanji/阻,vocabulary/阻む,kanji/粗,vocabulary/粗い
kanji/船,vocabulary/船,kanji/航,kanji/般,kanji/舶
kanji/週,kanji/通,vocabulary/通る,vocabulary/通り,vocabulary/通う,vocabulary/通す
kanji/雪,vocabulary/雪,kanji/雲,vocabulary/雲,kanji/震,vocabulary/震える,kanji/霧,vocabulary/霧,kanji/霜,vocabulary/霜,kanji/電,kanji/雰,kanji/需,kanji/雷,vocabulary/雷
kanji/魚,vocabulary/魚
kanji/鳥,vocabulary/鳥,kanji/馬,vocabulary/馬,kanji/篤
kanji/黄,kanji/横,vocabulary/横
kanji/黒,vocabulary/黒い
kanji/支,vocabulary/支える,kanji/枝,vocabulary/枝,kanji/岐,kanji/伎,kanji/技,vocabulary/技,kanji/鼓,vocabulary/鼓
kanji/住,vocabulary/住む,kanji/注,vocabulary/注ぐ,kanji/往,kanji/王,vocabulary/王
kanji/助,vocabulary/助ける,vocabulary/助かる
kanji/君,vocabulary/君
kanji/対,vocabulary/対する,kanji/双,vocabulary/双
kanji/局,vocabulary/局
kanji/役,vocabulary/役,kanji/投,vocabulary/投げる,kanji/疫,kanji/穀
kanji/投,vocabulary/投げる,kanji/役,vocabulary/役,kanji/疫,kanji/穀
kanji/決,vocabulary/決,vocabulary/決める,vocabulary/決まる,kanji/次,vocabulary/次,kanji/欠,vocabulary/欠ける,vocabulary/欠かす,kanji/快,vocabulary/快い
kanji/究,kanji/空,vocabulary/空,kanji/突,vocabulary/突く
kanji/身,vocabulary/身
kanji/馬,vocabulary/馬,kanji/篤,kanji/鳥,vocabulary/鳥
kanji/森,vocabulary/森
kanji/場,kanji/湯,vocabulary/湯,kanji/陽
kanji/朝,vocabulary/朝,vocabulary/朝ごはん
kanji/答,vocabulary/答え,vocabulary/答える
kanji/絵,vocabulary/絵,kanji/給
kanji/買,vocabulary/買う,kanji/員
kanji/道,vocabulary/道
